user_id,tour_id,tag_similarity,destination_match,price_match,duration_match,price,duration,avg_rating,review_count,budget_max,preferred_duration,persona,label,target_score
1,208,0.85631,0,1,0,3970000,3,8.8,28,8000000,5,city|food|nightlife|photography|shopping,1,0.69165
1,131,0.6674,0,1,0,3020000,2,8.6,118,8000000,5,city|food|nightlife|photography|shopping,0,0.58231
1,98,0.39483,1,1,1,3780000,5,8.1,109,8000000,5,city|food|nightlife|photography|shopping,1,0.72683
1,194,0.11689,1,0,0,8690000,3,9.4,66,8000000,5,city|food|nightlife|photography|shopping,0,0.55329
1,137,0.54818,1,1,0,6170000,4,8.6,51,8000000,5,city|food|nightlife|photography|shopping,1,0.76824
1,214,0.48404,0,1,0,4300000,4,7.8,103,8000000,5,city|food|nightlife|photography|shopping,1,0.5533
1,219,0.17926,0,0,0,8840000,3,9.2,91,8000000,5,city|food|nightlife|photography|shopping,0,0.39449
1,213,0.53854,1,1,0,5480000,4,9.1,25,8000000,5,city|food|nightlife|photography|shopping,1,0.76919
1,186,0.30826,0,1,0,6850000,3,9.0,61,8000000,5,city|food|nightlife|photography|shopping,0,0.46347
1,221,0.40373,1,1,1,3220000,5,8.2,86,8000000,5,city|food|nightlife|photography|shopping,1,0.73156
1,205,0.34601,0,1,0,5780000,2,7.9,69,8000000,5,city|food|nightlife|photography|shopping,0,0.44032
1,142,0.55966,0,1,0,6670000,4,9.5,72,8000000,5,city|food|nightlife|photography|shopping,1,0.60206
1,116,0.44439,1,1,0,3980000,4,7.9,72,8000000,5,city|food|nightlife|photography|shopping,1,0.71764
1,50,0.28396,0,1,0,5180000,2,9.5,104,8000000,5,city|food|nightlife|photography|shopping,0,0.43026
1,112,0.23631,0,1,0,5970000,3,8.8,119,8000000,5,city|food|nightlife|photography|shopping,0,0.43125
1,65,0.2714,0,1,0,5980000,4,8.1,6,8000000,5,city|food|nightlife|photography|shopping,0,0.46699
1,204,0.21305,1,0,1,12320000,5,8.3,93,8000000,5,city|food|nightlife|photography|shopping,1,0.56608
1,86,0.22678,0,0,0,10640000,3,9.1,83,8000000,5,city|food|nightlife|photography|shopping,0,0.37745
1,145,0.13702,1,1,1,5440000,5,7.9,10,8000000,5,city|food|nightlife|photography|shopping,0,0.61655
1,124,0.39903,0,1,1,7340000,5,8.1,59,8000000,5,city|food|nightlife|photography|shopping,1,0.54859
1,34,0.31342,0,1,1,4830000,5,7.8,107,8000000,5,city|food|nightlife|photography|shopping,0,0.50964
1,121,0.48118,1,1,0,5510000,3,7.8,82,8000000,5,city|food|nightlife|photography|shopping,0,0.70409
1,8,0.23294,0,0,0,8190000,3,9.6,107,8000000,5,city|food|nightlife|photography|shopping,0,0.43403
1,192,0.76214,0,1,0,4770000,2,9.4,30,8000000,5,city|food|nightlife|photography|shopping,1,0.6301
1,155,0.36136,0,1,0,4600000,4,9.4,111,8000000,5,city|food|nightlife|photography|shopping,0,0.51777
1,173,0.26124,0,1,0,7150000,3,9.4,6,8000000,5,city|food|nightlife|photography|shopping,0,0.44772
1,226,0.32745,0,1,0,7020000,3,9.0,111,8000000,5,city|food|nightlife|photography|shopping,0,0.47153
1,52,0.42546,1,1,0,7200000,4,7.7,116,8000000,5,city|food|nightlife|photography|shopping,1,0.70769
1,60,0.50131,0,1,0,2850000,4,8.8,84,8000000,5,city|food|nightlife|photography|shopping,0,0.57055
1,158,0.0522,1,0,0,13970000,3,8.9,45,8000000,5,city|food|nightlife|photography|shopping,0,0.41552
1,106,0.74706,0,1,0,3480000,3,7.6,42,8000000,5,city|food|nightlife|photography|shopping,0,0.63377
1,237,0.54502,0,1,0,4570000,3,9.1,117,8000000,5,city|food|nightlife|photography|shopping,0,0.56391
1,164,0.78172,0,1,0,2350000,3,9.4,29,8000000,5,city|food|nightlife|photography|shopping,1,0.66632
1,172,0.15976,1,1,1,7580000,5,7.6,79,8000000,5,city|food|nightlife|photography|shopping,1,0.6231
1,183,0.16616,0,1,1,6720000,5,8.9,109,8000000,5,city|food|nightlife|photography|shopping,0,0.45879
1,22,0.42196,1,0,0,8170000,3,8.5,27,8000000,5,city|food|nightlife|photography|shopping,1,0.68282
1,190,0.34365,0,0,0,9710000,4,9.4,24,8000000,5,city|food|nightlife|photography|shopping,1,0.47613
1,46,0.47022,1,0,0,8140000,3,9.5,53,8000000,5,city|food|nightlife|photography|shopping,1,0.71369
1,26,0.37023,1,1,0,4310000,4,9.7,29,8000000,5,city|food|nightlife|photography|shopping,1,0.7045
1,97,0.1198,0,0,0,9930000,3,7.6,41,8000000,5,city|food|nightlife|photography|shopping,0,0.33172
1,147,0.42201,0,0,0,8820000,3,8.4,18,8000000,5,city|food|nightlife|photography|shopping,1,0.48885
1,30,0.26554,0,1,0,3620000,3,8.3,117,8000000,5,city|food|nightlife|photography|shopping,0,0.43853
1,48,0.52794,1,1,0,4820000,4,9.2,103,8000000,5,city|food|nightlife|photography|shopping,1,0.76573
1,197,0.53873,0,1,0,6280000,3,9.2,55,8000000,5,city|food|nightlife|photography|shopping,0,0.56227
1,113,0.34861,0,0,0,8040000,3,9.3,109,8000000,5,city|food|nightlife|photography|shopping,0,0.48262
1,154,0.34631,0,1,1,5130000,5,7.8,26,8000000,5,city|food|nightlife|photography|shopping,0,0.52345
1,188,0.60875,0,1,0,2280000,2,7.5,73,8000000,5,city|food|nightlife|photography|shopping,1,0.54668
1,74,0.3362,0,1,1,3870000,5,7.7,59,8000000,5,city|food|nightlife|photography|shopping,0,0.5182
1,211,0.23746,0,1,0,4990000,4,9.4,22,8000000,5,city|food|nightlife|photography|shopping,0,0.46573
1,228,0.28557,0,1,0,7690000,3,7.6,7,8000000,5,city|food|nightlife|photography|shopping,0,0.43994
1,161,0.39664,1,1,0,6500000,4,7.5,57,8000000,5,city|food|nightlife|photography|shopping,1,0.69359
1,84,0.7828,0,1,0,4910000,2,9.6,25,8000000,5,city|food|nightlife|photography|shopping,1,0.64078
1,62,0.07884,1,0,0,15980000,4,7.5,22,8000000,5,city|food|nightlife|photography|shopping,0,0.40051
1,119,0.48403,0,1,0,6250000,4,7.4,42,8000000,5,city|food|nightlife|photography|shopping,1,0.54929
1,210,0.2776,0,1,0,7500000,3,7.5,13,8000000,5,city|food|nightlife|photography|shopping,1,0.43559
1,109,0.30275,0,1,0,5450000,3,7.6,70,8000000,5,city|food|nightlife|photography|shopping,0,0.44715
1,38,0.57756,0,1,0,3520000,3,8.5,21,8000000,5,city|food|nightlife|photography|shopping,0,0.57157
1,24,0.4349,0,1,1,5890000,5,8.1,9,8000000,5,city|food|nightlife|photography|shopping,0,0.56366
1,139,0.50593,1,1,0,5100000,3,8.8,86,8000000,5,city|food|nightlife|photography|shopping,1,0.72449
1,44,0.07773,0,1,0,5620000,4,7.4,19,8000000,5,city|food|nightlife|photography|shopping,0,0.37865
1,11,0.39991,0,0,0,8160000,4,8.8,13,8000000,5,city|food|nightlife|photography|shopping,0,0.52476
1,189,0.84981,0,1,0,2850000,4,7.7,89,8000000,5,city|food|nightlife|photography|shopping,1,0.70592
1,165,0.14115,0,0,0,10700000,4,7.6,38,8000000,5,city|food|nightlife|photography|shopping,0,0.35329
1,53,0.45058,1,1,0,6850000,4,8.6,65,8000000,5,city|food|nightlife|photography|shopping,1,0.72724
1,61,0.35425,0,1,0,3850000,2,7.4,61,8000000,5,city|food|nightlife|photography|shopping,0,0.43878
1,66,0.37326,0,1,1,7950000,5,8.3,83,8000000,5,city|food|nightlife|photography|shopping,1,0.53977
1,82,0.45199,1,1,0,6740000,2,8.9,16,8000000,5,city|food|nightlife|photography|shopping,1,0.67484
1,134,0.40136,1,1,0,3330000,4,7.8,89,8000000,5,city|food|nightlife|photography|shopping,1,0.69857
1,216,0.43392,0,1,0,5630000,4,9.4,104,8000000,5,city|food|nightlife|photography|shopping,0,0.54825
1,232,0.35057,0,0,0,10030000,3,8.8,50,8000000,5,city|food|nightlife|photography|shopping,1,0.43864
2,126,0.35813,0,1,0,9260000,3,8.4,85,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.50642
2,229,0.36124,0,0,1,10990000,4,8.5,60,10000000,4,adventure|mountain|nature|photography|wildlife,1,0.52088
2,219,0.27064,0,1,0,8840000,3,9.2,91,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.47767
2,89,0.80421,1,1,1,4550000,4,8.5,70,10000000,4,adventure|mountain|nature|photography|wildlife,1,0.90277
2,148,0.29568,0,0,1,11060000,4,9.6,44,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.50323
2,174,0.21539,0,1,0,5910000,5,9.4,38,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.45647
2,74,0.07633,0,1,0,3870000,5,7.7,59,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.38106
2,28,0.42124,0,0,1,12790000,4,8.6,66,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.51828
2,97,0.25802,0,1,0,9930000,3,7.6,41,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.45637
2,218,0.26532,0,0,1,11480000,4,8.8,31,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.47576
2,141,0.0,0,1,0,4800000,2,8.6,28,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.33
2,128,0.18074,0,0,0,13980000,3,9.1,49,10000000,4,adventure|mountain|nature|photography|wildlife,0,0.37523
